Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2023-11-20,100.0975,100.1064,100.1048,100.4462,100.2387,0.0,0.0,0.0,0.0,0.0
2023-11-17,100.1,100.11,100.1072,100.4499,100.2418,0.0,0.0,0.0,0.0,0.0
2023-11-16,100.115,100.12,100.1143,100.45,100.2513,0.0,0.0,0.0,0.0,0.0
2023-11-15,100.12,100.12,100.1167,100.4501,100.2545,0.0,0.0,0.0,0.0,0.0
2023-11-14,100.1204,100.1264,100.1192,100.4365,100.2577,0.0,0.0,0.0,0.0,0.0
2023-11-13,100.125,100.13,100.1216,100.4402,100.2609,0.0,0.0,0.0,0.0,0.0
2023-11-10,100.135,100.13,100.1216,100.4601,100.2609,0.0,0.0,0.0,0.0,0.0
2023-11-09,100.1519,100.14,100.1314,100.4699,100.2737,0.0,0.0,0.0,0.0,0.0
2023-11-08,100.1571,100.14,100.1338,100.4699,100.2769,0.0,0.0,0.0,0.0,0.0
2023-11-07,100.15,100.14,100.1363,100.4699,100.2801,0.0,0.0,0.0,0.0,0.0
2023-11-06,100.1678,100.1466,100.1388,100.4762,100.2834,0.0,0.0,0.0,0.0,0.0
2023-11-03,100.173,100.15,100.1412,100.48,100.2866,0.0,0.0,0.0,0.0,0.0
2023-11-02,100.185,100.16,100.1487,100.4799,100.2964,0.0,0.0,0.0,0.0,0.0
2023-11-01,100.225,100.16,100.1513,100.4899,100.2997,0.0,0.0,0.0,0.0,0.0
2023-10-31,100.198,100.14,100.1538,100.4599,100.303,0.0,0.0,0.0,0.0,0.0
2023-10-30,100.215,100.15,100.1563,100.4698,100.3063,0.0,0.0,0.0,0.0,0.0
2023-10-27,100.225,100.15,100.1366,100.4699,100.2868,0.0,0.0,0.0,0.0,0.0
2023-10-26,100.225,100.15,100.1443,100.47,100.2968,0.0,0.0,0.0,0.0,0.0
2023-10-25,100.2361,100.16,100.1468,100.479,100.3001,0.0,0.0,0.0,0.0,0.0
2023-10-24,100.2424,100.1633,100.1494,100.4827,100.3034,0.0,0.0,0.0,0.0,0.0
2023-10-23,100.2487,100.1667,100.152,100.4864,100.3068,0.0,0.0,0.0,0.0,0.0
2023-10-20,100.255,100.17,100.1546,100.4901,100.3101,0.0,0.0,0.0,0.0,0.0
2023-10-19,100.235,100.17,100.1624,100.5299,100.3202,0.0,0.0,0.0,0.0,0.0
2023-10-18,100.2348,100.1801,100.165,100.4999,100.3236,0.0,0.0,0.0,0.0,0.0
2023-10-17,100.2425,100.18,100.1676,100.5101,100.327,0.0,0.0,0.0,0.0,0.0
