Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2013-11-29,100.829,95.4326,93.7876,95.198,94.4967,0.0,0.0,0.0,0.0,0.0
2013-12-02,100.9051,95.7621,93.5821,95.4439,94.7499,0.0,0.0,0.0,0.0,0.0
2013-12-03,100.7472,95.4883,93.4804,95.2629,94.5577,0.0,0.0,0.0,0.0,0.0
2013-12-04,100.6331,95.3791,93.3679,95.2352,94.4969,0.0,0.0,0.0,0.0,0.0
2013-12-05,100.5128,95.2676,93.0402,95.0226,94.3012,0.0,0.0,0.0,0.0,0.0
2013-12-06,100.0928,94.9324,94.6728,94.6656,93.9571,0.0,0.0,0.0,0.0,0.0
2013-12-09,101.7687,96.5875,93.0991,95.8699,95.3535,0.0,0.0415,0.0,0.0,0.0
2013-12-10,100.2168,95.0472,93.1896,94.7015,94.0364,0.0,0.0,0.0,0.0,0.0
2013-12-11,100.2975,95.1278,93.0504,94.6715,94.0603,0.0,0.0,0.0,0.0,0.0
2013-12-12,100.1406,94.9747,92.6881,94.528,93.9186,0.0,0.0,0.0,0.0,0.0
2013-12-13,99.7167,94.5767,92.9529,94.2321,93.5364,0.0,0.0,0.0,0.0,0.0
2013-12-16,100.2583,94.8444,92.6536,94.4463,93.7799,0.0,0.0,0.04005,0.0,0.0
2013-12-17,99.68,94.5422,93.4244,94.1513,93.489,0.0,0.0,0.0,0.0,0.0
2013-12-18,100.5,95.3231,93.691,94.802,94.2025,0.0,0.0,0.0,0.0,0.0
2013-12-19,100.8016,95.601,93.3635,95.2623,94.577,0.0,0.0,0.0,0.0,0.0
2013-12-20,100.451,95.2689,93.2306,94.9258,94.2624,0.0,0.0,0.0,0.0,0.0
2013-12-23,100.2968,95.1291,92.9018,94.8403,94.1625,0.0,0.0,0.0,0.0,0.0
2013-12-24,99.9452,94.7958,92.9018,94.5521,93.8664,0.0,0.0,0.0,0.0,0.0
2013-12-25,99.9452,94.7958,92.7616,94.5521,93.8664,0.0,0.0,0.0,0.0,0.0
2013-12-26,99.8032,94.657,92.3375,94.4387,93.743,0.0,0.0,0.0,0.0,0.0
2013-12-27,99.3524,94.2282,92.9582,94.0941,93.3732,0.0,0.0,0.0,0.0,0.0
2013-12-30,100.0087,94.8552,93.2144,94.7483,94.013,0.0,0.0,0.0,0.0,0.0
2013-12-31,100.2746,95.1121,93.0623,95.036,94.2603,0.0,0.0,0.0,0.0,0.0
2014-01-01,100.1047,94.9549,93.1659,94.8098,94.0824,0.0,0.0,0.0,0.0,0.0
2014-01-02,100.2108,95.0583,93.1729,94.9185,94.1966,0.0,0.0,0.0,0.0,0.0
2014-01-03,100.2172,95.0656,93.563,94.3875,94.2353,0.0,0.0,0.0,0.0,0.0
2014-01-06,100.7013,95.4624,93.3791,95.3377,94.5649,0.0,0.0,0.0,0.0,0.0
2014-01-07,100.4991,95.2736,93.3124,95.0518,94.3391,0.0,0.0,0.0,0.0,0.0
2014-01-08,100.4316,95.2078,93.3874,95.0045,94.2841,0.0,0.0,0.0,0.0,0.0
2014-01-09,100.5188,95.2871,93.6299,95.0662,94.3541,0.0,0.0,0.0,0.0,0.0
2014-01-10,100.7038,95.5302,93.7935,95.2491,94.5856,0.0,0.0,0.0,0.0,0.0
2014-01-13,101.0042,95.6939,93.7891,95.4504,94.7121,0.0,0.0,0.0,0.0,0.0
2014-01-14,100.9983,95.6892,94.2322,95.4571,94.7191,0.0,0.0,0.0,0.0,0.0
2014-01-15,101.4646,96.1358,94.4566,95.8371,95.1528,0.0,0.0,0.0,0.0,0.0
2014-01-16,101.5717,96.4269,94.3914,96.1656,95.4615,0.0,0.0,0.0,0.0,0.0
2014-01-17,101.4945,96.3581,95.0887,96.1516,95.4433,0.0,0.0,0.0,0.0,0.0
2014-01-20,102.2332,97.0639,94.8594,96.8366,96.1507,0.0,0.0,0.0,0.0,0.0
2014-01-21,101.9896,96.8318,94.5178,96.6517,95.941,0.0,0.0,0.0,0.0,0.0
2014-01-22,101.6265,96.4858,94.1626,96.3116,95.605,0.0,0.0,0.0,0.0,0.0
2014-01-23,101.2536,96.128,93.6847,95.9968,95.2594,0.0,0.0,0.0,0.0,0.0
2014-01-24,100.7423,95.6429,93.4828,95.5286,94.8056,0.0,0.0,0.0,0.0,0.0
2014-01-27,100.5183,95.4344,93.6913,95.3527,94.6314,0.0,0.0,0.0,0.0,0.0
2014-01-28,100.7265,95.5779,93.5182,95.3146,94.6864,0.0,0.0,0.0,0.0,0.0
2014-01-29,100.4079,95.4011,93.232,95.1649,94.4707,0.0,0.0,0.0,0.0,0.0
2014-01-30,100.2981,95.1107,93.478,94.9209,94.1937,0.0,0.0,0.0,0.0,0.0
2014-01-31,100.4848,95.3565,93.8984,95.2048,94.4919,0.0,0.0,0.0,0.0,0.0
2014-02-03,100.9227,95.7786,94.2273,95.7277,94.959,0.0,0.0,0.0,0.0,0.0
2014-02-04,101.2751,96.113,94.06,95.9672,95.2795,0.0,0.0,0.0,0.0,0.0
2014-02-05,101.0988,95.9445,93.9887,95.7589,95.1124,0.0,0.0,0.0,0.0,0.0
2014-02-06,101.0183,95.8705,93.896,95.705,95.0642,0.0,0.0,0.0,0.0,0.0
2014-02-07,100.9267,95.7803,94.1454,95.65,94.9858,0.0,0.0,0.0,0.0,0.0
2014-02-10,101.1841,96.0298,93.8316,95.9118,95.2704,0.0,0.0,0.0,0.0,0.0
2014-02-11,100.8441,95.7095,93.3991,95.6355,94.9841,0.0,0.0,0.0,0.0,0.0
2014-02-12,100.3875,95.273,93.1354,95.22,94.5337,0.0,0.0,0.0,0.0,0.040999999999999995
